FID,the_geom,id,name,place,source,is_in,highway,addr_stree,waterway
dominica_points.279,POINT (-61.3857144 15.3060471),1834938355,,,,,,,
dominica_points.280,POINT (-61.3880162 15.3060037),1834938358,,,,,,,
dominica_points.281,POINT (-61.383295 15.3066551),1834938400,,,,,,,
dominica_points.282,POINT (-61.3889437 15.3034703),1834938487,,,,,,,
dominica_points.283,POINT (-61.3879379 15.3069991),1834938633,,,,,,,
dominica_points.284,POINT (-61.3886034 15.310435),1834938670,,,,,,,
dominica_points.285,POINT (-61.3830536 15.3065956),1834938716,,,,,,,
dominica_points.286,POINT (-61.3884912 15.3112634),1834938721,,,,,,,
dominica_points.287,POINT (-61.3887191 15.3108726),1834938722,,,,,,,
dominica_points.288,POINT (-61.3832145 15.3067585),1834938737,,,,,,,
dominica_points.289,POINT (-61.3882678 15.303284),1834938746,,,,,,,
dominica_points.290,POINT (-61.3831126 15.3064506),1834938983,,,,,,,
dominica_points.291,POINT (-61.3857975 15.3061325),1834939032,,,,,,,
dominica_points.292,POINT (-61.3881659 15.3027331),1834939035,,,,,,,
dominica_points.293,POINT (-61.383523 15.3070637),1834939065,,,,,,,
dominica_points.294,POINT (-61.3858833 15.3059695),1834939069,,,,,,,
dominica_points.295,POINT (-61.3885073 15.311103),1834939114,,,,,,,
dominica_points.296,POINT (-61.3878521 15.3030822),1834939220,,,,,,,
dominica_points.297,POINT (-61.3886736 15.3113048),1834939237,,,,,,,
dominica_points.298,POINT (-61.3834211 15.3071337),1834939247,,,,,,,
dominica_points.299,POINT (-61.391467 15.3386172),1838449859,,,,,,,
dominica_points.300,POINT (-61.4254345 15.4043832),1838451279,St. Joseph Parish Church,,,"St. Joseph, Dominica",,,
dominica_points.301,POINT (-61.4220298 15.4068812),1838451734,St. Joseph Primary School,,,,,,
dominica_points.302,POINT (-61.4269264 15.4187845),1841053348,,,,,,,
dominica_points.303,POINT (-61.3316743 15.4094523),1841125961,Morne Negres Marrons,,,,,,
dominica_points.304,POINT (-61.4082125 15.4051806),1846694174,,,,,,,
dominica_points.305,POINT (-61.4353402 15.4298278),1851713733,,,,,,,
dominica_points.306,POINT (-61.4304616 15.4289096),1851714180,,,,,,,
dominica_points.307,POINT (-61.4290049 15.4285501),1851714391,,,,,,,
dominica_points.308,POINT (-61.4331117 15.4287132),1851714528,,,,,,,
dominica_points.309,POINT (-61.4296597 15.4285633),1851714750,,,,,,,
dominica_points.310,POINT (-61.43531 15.4287346),1851715469,,,,,,,
dominica_points.311,POINT (-61.4498832 15.4452908),1851716044,,,,,,,
dominica_points.312,POINT (-61.4293753 15.4285037),1851716196,,,,,,,
dominica_points.313,POINT (-61.4331331 15.4289382),1851716275,,,,,,,
dominica_points.314,POINT (-61.4334362 15.4323949),1851732249,,,,,,,
dominica_points.315,POINT (-61.4217876 15.4385971),1851732273,,,,,,,
dominica_points.316,POINT (-61.4316713 15.4332069),1851732276,,,,,,,
dominica_points.317,POINT (-61.4265191 15.4359186),1851732278,,,,,,,
dominica_points.318,POINT (-61.4251565 15.4367716),1851732286,,,,,,,
dominica_points.319,POINT (-61.4254623 15.4363944),1851732302,,,,,,,
dominica_points.320,POINT (-61.425414 15.4369787),1851732312,,,,,,,
dominica_points.321,POINT (-61.4322587 15.4325657),1851732314,,,,,,,
dominica_points.322,POINT (-61.432543 15.4332481),1851732357,,,,,,,
dominica_points.323,POINT (-61.422356 15.4380051),1851732363,,,,,,,
dominica_points.324,POINT (-61.4223345 15.4376639),1851732391,,,,,,,
dominica_points.325,POINT (-61.4250385 15.4376974),1851732435,,,,,,,
dominica_points.326,POINT (-61.4320415 15.4330826),1851732508,,,,,,,
dominica_points.327,POINT (-61.4336588 15.438887),1853119308,,,,,,,
dominica_points.328,POINT (-61.4357722 15.4325061),1853119363,,,,,,,
dominica_points.329,POINT (-61.4374219 15.4356502),1853119673,,,,,,,
dominica_points.330,POINT (-61.4351099 15.4444845),1853120928,,,,,,,
dominica_points.331,POINT (-61.4350616 15.4291968),1853121951,,,,,,,
dominica_points.332,POINT (-61.4375775 15.4351434),1853122140,,,,,,,
dominica_points.333,POINT (-61.4337661 15.4387372),1853123800,,,,,,,
dominica_points.334,POINT (-61.4347719 15.4443086),1853124490,,,,,,,
dominica_points.335,POINT (-61.4208727 15.4014417),1854836601,,,,,,,
dominica_points.336,POINT (-61.4155404 15.3989231),1854836838,,,,,,,
dominica_points.337,POINT (-61.420591 15.4012994),1854836865,,,,,,,
dominica_points.338,POINT (-61.4206393 15.4019149),1854837423,,,,,,,
dominica_points.339,POINT (-61.4206554 15.4011132),1854837964,,,,,,,
dominica_points.340,POINT (-61.4204221 15.4018322),1854840003,,,,,,,
dominica_points.341,POINT (-61.4070086 15.3971338),1854967790,,,,,,,
dominica_points.342,POINT (-61.3862371 15.3012245),1855111475,,,,,,,
dominica_points.343,POINT (-61.385105 15.2949469),1855111495,,,,,,,
dominica_points.344,POINT (-61.3787377 15.2926039),1855111530,,,,,,,
dominica_points.345,POINT (-61.3850459 15.3057327),1855111687,,,,,,,
dominica_points.346,POINT (-61.3885972 15.300574),1855111818,,,,,bus_stop,,
dominica_points.347,POINT (-61.3815942 15.3020292),1855175978,Alliance Fran�aise,,,,,,
dominica_points.348,POINT (-61.3841935 15.2957581),1855180595,,,,,,,
dominica_points.349,POINT (-61.4204079 15.5135476),1879866187,,,,,,,
dominica_points.350,POINT (-61.4513371 15.6365458),1884381125,waterfall,,,,,,waterfall
dominica_points.351,POINT (-61.4540345 15.6381677),1884381165,waterfall,,,,,,waterfall
dominica_points.352,POINT (-61.312102 15.3977697),1912911656,,,,,,,waterfall
dominica_points.353,POINT (-61.3357854 15.3483399),1914316986,Middleham Falls,,,,,,waterfall
dominica_points.354,POINT (-61.3669701 15.3805728),1914318363,,,,,,,waterfall
dominica_points.355,POINT (-61.3597842 15.3809351),1914318373,Waterfall,,,,,,waterfall
dominica_points.356,POINT (-61.3340178 15.3283352),1925628609,Trafalgar Falls,,,"Trafalgar, Dominica",,,waterfall
dominica_points.357,POINT (-61.3043149 15.2607756),1927085755,Dubuc Falls,,,,,,waterfall
dominica_points.358,POINT (-61.2662971 15.3280998),1927085758,Sari-Sari Falls,,,,,,waterfall
dominica_points.359,POINT (-61.2859547 15.2857658),1927085760,Waterfall,,,,,,waterfall
dominica_points.360,POINT (-61.2739746 15.2948376),1927090018,Cliff Waterfall and pool,,,,,,waterfall
dominica_points.361,POINT (-61.459888 15.6211469),1956919272,Cocoyer,village,,,,,
dominica_points.362,POINT (-61.4585259 15.6374887),2070419387,Capuchin Point,,,,,,
dominica_points.363,POINT (-61.3744174 15.56836),2070419397,Chaudiere Pool,,,,,,
dominica_points.364,POINT (-61.419676 15.52376),2070419404,Syndicate rainforest trail,,,,,,
dominica_points.365,POINT (-61.4160417 15.5235659),2070419519,,,,,,,
dominica_points.366,POINT (-61.4199587 15.5239799),2070419549,,,,,,,
dominica_points.367,POINT (-61.4398878 15.6193763),2070419743,Cold Sulphur Springs,,,,,,
dominica_points.368,POINT (-61.4290543 15.6278076),2070419990,,,,,,,
dominica_points.369,POINT (-61.462388 15.6040921),2080157399,Savanne Paile,village,,,,,
dominica_points.370,POINT (-61.4558833 15.5700167),2085217707,,,,,,,
dominica_points.371,POINT (-61.366051 15.2598551),2086476972,Aberdeen Estate,locality,,,,,
dominica_points.372,POINT (-61.3512168 15.267523),2086476983,Alford Estate,locality,,,,,
dominica_points.373,POINT (-61.2865381 15.2507677),2086476985,Bagatelle Estate,locality,,,,,
dominica_points.374,POINT (-61.3334658 15.2277063),2086476986,Bedminster Estate,locality,,,,,
dominica_points.375,POINT (-61.3410768 15.2223675),2086476989,Bois Colette Estate,locality,,,,,
dominica_points.376,POINT (-61.3162983 15.2316661),2086476992,Bois d'Inde Estate,locality,,,,,
dominica_points.377,POINT (-61.3182506 15.2322699),2086476995,Bois d'Inde,,,,,,
dominica_points.378,POINT (-61.2888409 15.2468314),2086476999,Cacao Estate,locality,,,,,
dominica_points.379,POINT (-61.3716703 15.2545666),2086477003,Champigny Estate,locality,,,,,
dominica_points.380,POINT (-61.3599071 15.2708354),2086477006,Chateau Estate,locality,,,,,
dominica_points.381,POINT (-61.3528589 15.2152836),2086477049,Crabier,,,,,,
dominica_points.382,POINT (-61.3528451 15.2655082),2086477056,Eris Estate,locality,,,,,
dominica_points.383,POINT (-61.329826 15.2551989),2086477058,Fontaine Estate,locality,,,,,
dominica_points.384,POINT (-61.3181479 15.250617),2086477063,Geneva Estate,locality,,,,,
dominica_points.385,POINT (-61.3547422 15.2505883),2086477067,Gomier Jacquin Estate,locality,,,,,
dominica_points.386,POINT (-61.3509578 15.2595894),2086477082,Gommier Estate,locality,,,,,
dominica_points.387,POINT (-61.3198901 15.2347212),2086477087,Grand Coulibri Estate,locality,,,,,
dominica_points.388,POINT (-61.3669192 15.2670992),2086477090,Grano Estate,locality,,,,,
dominica_points.389,POINT (-61.3592428 15.2599396),2086477095,Highlands Estate,locality,,,,,
dominica_points.390,POINT (-61.3379921 15.2642741),2086477099,Liberty Estate,locality,,,,,
dominica_points.391,POINT (-61.3569275 15.2613401),2086477143,Lionn� Estate,locality,,,,,
dominica_points.392,POINT (-61.3396316 15.260664),2086477148,Magua Estate,locality,,,,,
dominica_points.393,POINT (-61.3630608 15.2654771),2086477151,Malgr�tout Estate,locality,,,,,
dominica_points.394,POINT (-61.3722335 15.2644069),2086477154,Mardrel Estate,locality,,,,,
dominica_points.395,POINT (-61.3668568 15.2459034),2086477158,Morne Cabrits,,,,,,
dominica_points.396,POINT (-61.3553053 15.2646545),2086477163,Morne Cannot,,,,,,
dominica_points.397,POINT (-61.3356372 15.2134538),2086477165,Morne Fous,,,,,,
dominica_points.398,POINT (-61.3543615 15.2239779),2086477170,Morne Patates Estate,locality,,,,,
dominica_points.399,POINT (-61.3556311 15.2270002),2086477175,Morne Patates,,,,,,
dominica_points.400,POINT (-61.3501421 15.2103051),2086477240,Morne Rouge Estate,locality,,,,,
dominica_points.401,POINT (-61.3454084 15.2561037),2086477246,Mount Lofty Estate,locality,,,,,
dominica_points.402,POINT (-61.3422264 15.2277063),2086477251,Palmiste Estate,locality,,,,,
dominica_points.403,POINT (-61.3091939 15.2607747),2086477258,Perdu Temps Estate,locality,,,,,
dominica_points.404,POINT (-61.3360797 15.2154093),2086477265,Petite Coulibri Estate,locality,,,,,
dominica_points.405,POINT (-61.3686089 15.2411218),2086477271,Pointe Guignard Estate,locality,,,,,
dominica_points.406,POINT (-61.3540365 15.2582372),2086477282,Refuge Estate,locality,,,,,
dominica_points.407,POINT (-61.347025 15.2379478),2086477290,Soufriere Sulphur Springs,,,,,,
dominica_points.408,POINT (-61.3599485 15.2461449),2086477297,South Chiltern Estate,locality,,,,,
dominica_points.409,POINT (-61.2969257 15.2507194),2086477304,Stowe Estate,locality,,,,,
dominica_points.410,POINT (-61.3669646 15.258044),2086477351,Union Estate (Savane),locality,,,,,
dominica_points.411,POINT (-61.3318571 15.3006774),2086654190,Augustus Estate,locality,,,,,
dominica_points.412,POINT (-61.3471461 15.3007149),2086654197,Babier Estate,locality,,,,,
dominica_points.413,POINT (-61.3471849 15.3020997),2086654198,Babillard Estate,locality,,,,,
dominica_points.414,POINT (-61.3368241 15.2874645),2086654199,Berlin Estate,locality,,,,,
dominica_points.415,POINT (-61.3460596 15.2969345),2086654200,Corlete Estate,locality,,,,,
dominica_points.416,POINT (-61.3280542 15.2973088),2086654201,Curbin Estate,locality,,,,,
dominica_points.417,POINT (-61.3222336 15.3044952),2086654203,Du Mas Estate,locality,,,,,
dominica_points.418,POINT (-61.3464088 15.2953998),2086654205,Durham Estate,locality,,,,,
dominica_points.419,POINT (-61.3468958 15.2693729),2086654208,Chapara Estate,locality,,,,,
dominica_points.420,POINT (-61.3685471 15.2740249),2086654239,Everton Estate,locality,,,,,
dominica_points.421,POINT (-61.3619115 15.2745115),2086654242,Fond Baron Estate,locality,,,,,
dominica_points.422,POINT (-61.3518803 15.2799406),2086654245,Gomier L�tang Estate,locality,,,,,
dominica_points.423,POINT (-61.3540922 15.2842079),2086654247,Gommier Stewart Estate,locality,,,,,
dominica_points.424,POINT (-61.3637935 15.2780864),2086654250,Le Haut Estate,locality,,,,,
dominica_points.425,POINT (-61.3332754 15.2693354),2086654251,Lisdara (Fantaisie) Estate,locality,,,,,
dominica_points.426,POINT (-61.3437313 15.2892986),2086654252,Malchar Estate,locality,,,,,
dominica_points.427,POINT (-61.3605324 15.2400794),2086654253,Morne Acouma,,,,,,
dominica_points.428,POINT (-61.2639084 15.2623523),2086654255,Morne Paix Bouche,,,,,,
dominica_points.429,POINT (-61.3369036 15.2746137),2086654256,New Florida (Parrot) Estate,locality,,,,,
dominica_points.430,POINT (-61.2624338 15.2770454),2086654257,Pointe Mulatre Estate,locality,,,,,
dominica_points.431,POINT (-61.3402408 15.2689236),2086654258,Prinstead Estate,locality,,,,,
dominica_points.432,POINT (-61.3238245 15.3115316),2086654259,Robinson Estate,locality,,,,,
dominica_points.433,POINT (-61.3464108 15.2756618),2086654260,Rose Hill Estate,locality,,,,,
dominica_points.434,POINT (-61.3551983 15.2754286),2086654261,Snug Corner Estate,locality,,,,,
dominica_points.435,POINT (-61.3635413 15.2763832),2086654262,Tranquility Estate,locality,,,,,
dominica_points.436,POINT (-61.2701948 15.248201),2086654263,Wai Wai Estate,locality,,,,,
dominica_points.437,POINT (-61.3667233 15.280426),2086654264,Wall House (Gillon) Estate,locality,,,,,
dominica_points.438,POINT (-61.3473848 15.4019255),2087116427,Spanny Falls,,,,,,waterfall
dominica_points.439,POINT (-61.2499092 15.3089983),2090884619,,,,,,,
dominica_points.440,POINT (-61.276973 15.4520309),2091368740,Morne Fraser,,,,,,
dominica_points.441,POINT (-61.4232684 15.6398583),2091368741,Point Carib,locality,,,,,
dominica_points.442,POINT (-61.3578854 15.3808009),2093468124,Soutoun Falls,,,,,,waterfall
dominica_points.443,POINT (-61.3594869 15.3804397),2093468146,,,,,,,waterfall
dominica_points.444,POINT (-61.3581102 15.3846059),2093468381,,,,,,,
dominica_points.445,POINT (-61.2803232 15.5104488),2093711864,Serenity Lodges Dominica,,,,,,
dominica_points.446,POINT (-61.3822593 15.4170214),2094988361,,,,,,,
dominica_points.447,POINT (-61.3996359 15.371806),2095399840,Petrocaraibes,,,,,,
dominica_points.448,POINT (-61.4738064 15.5833747),2097330158,,,,,,,
dominica_points.449,POINT (-61.4707036 15.5873414),2097330364,East Cabrit,,,Dominica,,,
dominica_points.450,POINT (-61.4734952 15.5833298),2097861289,,,,,,,
dominica_points.451,POINT (-61.3108494 15.246754),2101616316,Geneva Playing Field,,,,,,
dominica_points.452,POINT (-61.4583047 15.5589977),2101939878,,,KG Ground Survey 2015,,,,
dominica_points.453,POINT (-61.2938108 15.5218636),2108824589,Big Mountain Farm,locality,,"Marigot, Dominica",,,
dominica_points.454,POINT (-61.4729984 15.5846171),2110510223,ruin,,,,,,
dominica_points.455,POINT (-61.4730312 15.5849613),2110510224,ruin,,,,,,
dominica_points.456,POINT (-61.4722649 15.585874),2110510225,,,,,,,
dominica_points.457,POINT (-61.3315281 15.3171526),2116425701,Grace Appartements,,,,,,
dominica_points.458,POINT (-61.3398355 15.3178633),2116426615,Tias Bamboo Cottage,,,,,,
dominica_points.459,POINT (-61.4218624 15.6378159),2121168552,Agoucha Bay,locality,,,,,
dominica_points.460,POINT (-61.4434125 15.5882703),2121168553,Alexis,locality,,,,,
dominica_points.461,POINT (-61.4668729 15.6262781),2121168554,Anse Bell,locality,,,,,
dominica_points.462,POINT (-61.469226 15.6141916),2121168555,Anse Crainte,locality,,,,,
dominica_points.463,POINT (-61.3822902 15.5959166),2121168556,Anse Soldat,locality,,,,,
dominica_points.464,POINT (-61.3786574 15.5953823),2121168557,Anse du M�,locality,,,,,
dominica_points.465,POINT (-61.4156153 15.6159519),2121168558,Aouya,locality,,,,,
dominica_points.466,POINT (-61.4052569 15.6181434),2121168559,Autrou Bay,locality,,,,,
dominica_points.467,POINT (-61.3696722 15.5980534),2121168560,Batibou Bay,locality,,,,,
dominica_points.468,POINT (-61.4534237 15.5986476),2121168561,Bell Hall Estate,locality,,,,,
dominica_points.469,POINT (-61.4243655 15.6223874),2121168562,Bellevue Estate,locality,,,,,
dominica_points.470,POINT (-61.434037 15.6198478),2121168563,Bellevue Mountain,,,,,,
dominica_points.471,POINT (-61.4444108 15.5848779),2121168564,Bellony,locality,,,,,
dominica_points.472,POINT (-61.4104332 15.5881481),2121168565,Belmanie,locality,,,,,
dominica_points.473,POINT (-61.4527834 15.6124818),2121168566,Bernard Estate,locality,,,,,
dominica_points.474,POINT (-61.3914972 15.593753),2121168567,Blenheim Estate,locality,,,,,
dominica_points.475,POINT (-61.4196496 15.5834827),2121168568,Bonne Esp�rance Estate,locality,,,,,
dominica_points.476,POINT (-61.4455201 15.5979531),2121168569,Burnet,locality,,,,,
dominica_points.477,POINT (-61.4584801 15.6262215),2121168570,Caf� Estate,locality,,,,,
dominica_points.478,POINT (-61.458542 15.6382266),2121168571,Cape Melville,locality,,,,,
dominica_points.479,POINT (-61.4200222 15.5912835),2121168572,Champs Elys�es Estate,locality,,,,,
dominica_points.480,POINT (-61.4145563 15.6096316),2121168574,Chapaud Valley,locality,,,,,
dominica_points.481,POINT (-61.3847306 15.5962905),2121168575,Chuval Blanc Point,locality,,,,,
dominica_points.482,POINT (-61.4608688 15.6372579),2121168576,Connor Bay,locality,,,,,
dominica_points.483,POINT (-61.4549619 15.6365235),2121168577,Connor Estate,locality,,,,,
dominica_points.484,POINT (-61.4612553 15.5883578),2121168578,Cotton Hill Estate,locality,,,,,
dominica_points.485,POINT (-61.3028384 15.5840833),2121168579,Crompton Point,locality,,,,,
dominica_points.486,POINT (-61.4438025 15.6170528),2121168580,Degazon Estate,locality,,,,,
dominica_points.487,POINT (-61.427522 15.6274439),2121168581,Delaford Estate,locality,,,,,
dominica_points.488,POINT (-61.4355921 15.5825005),2121168582,Deschamps,locality,,,,,
dominica_points.489,POINT (-61.4331924 15.631663),2121168583,Desgras Balata Estate,locality,,,,,
dominica_points.490,POINT (-61.4297129 15.5868813),2121168584,Destin�e Estate,locality,,,,,
dominica_points.491,POINT (-61.4650688 15.5972315),2121168585,Douglas Bay,locality,,,,,
dominica_points.492,POINT (-61.4661474 15.6069771),2121168586,Douglas Point,locality,,,,,
dominica_points.493,POINT (-61.427328 15.6070345),2121168587,Embas L'Eau,locality,,,,,
dominica_points.494,POINT (-61.4378107 15.5759291),2121168588,En Foucauld,locality,,,,,
dominica_points.495,POINT (-61.4107201 15.6173823),2121168589,Enbas,locality,,,,,
dominica_points.496,POINT (-61.456807 15.6041499),2121168590,Everton Hall Estate,locality,,,,,
dominica_points.497,POINT (-61.4454369 15.5787072),2121168591,Fairview Estate,locality,,,,,
dominica_points.498,POINT (-61.4519207 15.6202822),2121168592,Fond Cant,locality,,,,,
dominica_points.499,POINT (-61.448293 15.6204144),2121168593,Fond Joco,locality,,,,,
dominica_points.500,POINT (-61.4455331 15.6288321),2121168594,Fourchette Estate,locality,,,,,
dominica_points.501,POINT (-61.4431897 15.6263084),2121168595,Francois Estate,locality,,,,,
dominica_points.502,POINT (-61.4390309 15.5791881),2121168596,Gap Estate,locality,,,,,
dominica_points.503,POINT (-61.4095755 15.6077807),2121168597,Godard Estate,locality,,,,,
dominica_points.504,POINT (-61.406049 15.6087899),2121168598,Gommier,locality,,,,,
dominica_points.505,POINT (-61.3399991 15.5973856),2121168599,Grand Baptiste Bay,locality,,,,,
dominica_points.506,POINT (-61.4394674 15.6322862),2121168600,Grand Fond,locality,,,,,
dominica_points.507,POINT (-61.4506942 15.5860792),2121168601,Grange,locality,,,,,
dominica_points.508,POINT (-61.4516757 15.630528),2121168602,Guava Estate,locality,,,,,
dominica_points.509,POINT (-61.3606039 15.5980267),2121168604,Hampstead Bay,locality,,,,,
dominica_points.510,POINT (-61.4315556 15.576598),2121168605,Hansen,locality,,,,,
dominica_points.511,POINT (-61.437782 15.624746),2121168606,Harrogate Estate,locality,,,,,
dominica_points.512,POINT (-61.4697947 15.6206315),2121168607,Hermitage Bay,locality,,,,,
dominica_points.513,POINT (-61.460794 15.6214625),2121168608,Hermitage Estate,locality,,,,,
dominica_points.514,POINT (-61.3893341 15.5956227),2121168609,Hiroula Bay,locality,,,,,
dominica_points.515,POINT (-61.3326779 15.5928982),2121168610,Hodges Bay,locality,,,,,
dominica_points.516,POINT (-61.4472341 15.6161463),2121168611,Jalousie,locality,,,,,
dominica_points.517,POINT (-61.3302375 15.5884641),2121168612,L'Anse Noire,locality,,,,,
dominica_points.518,POINT (-61.4138219 15.623871),2121168613,L'Autre Bord,locality,,,,,
dominica_points.519,POINT (-61.4140661 15.611558),2121168614,La Paille Estate,locality,,,,,
dominica_points.520,POINT (-61.4291028 15.605058),2121168615,La Source Estate,locality,,,,,
dominica_points.521,POINT (-61.3268265 15.5878497),2121168616,La Taile Bay,locality,,,,,
dominica_points.522,POINT (-61.4696967 15.6183653),2121168617,Lamothe Bay,locality,,,,,
dominica_points.523,POINT (-61.4619902 15.6187052),2121168618,Lamothe Estate,locality,,,,,
dominica_points.524,POINT (-61.4200469 15.6089895),2121168619,Lavie Douce Estate,locality,,,,,
dominica_points.525,POINT (-61.4438839 15.5833285),2121168620,Les H�ritiers,locality,,,,,
dominica_points.526,POINT (-61.4512606 15.6139388),2121168621,Mal-En-Gamme,locality,,,,,
dominica_points.527,POINT (-61.4339559 15.6089843),2121168622,Malaise,locality,,,,,
dominica_points.528,POINT (-61.4398619 15.6282847),2121168623,Malgter�tour Estate,locality,,,,,
dominica_points.529,POINT (-61.466167 15.6285631),2121168624,Marceau Bay,locality,,,,,
dominica_points.530,POINT (-61.443468 15.576864),2121168625,Mon Repos Estate,locality,,,,,
dominica_points.531,POINT (-61.4198065 15.5974786),2121168626,Moore Park Estate,locality,,,,,
dominica_points.532,POINT (-61.4357585 15.5920901),2121168627,Morne Brul�s,,,,,,
dominica_points.533,POINT (-61.4273732 15.5899741),2121168628,Morne Destin�e,,,,,,
dominica_points.534,POINT (-61.4179735 15.5869472),2121168629,Morne Dos D'Ane,,,,,,
dominica_points.535,POINT (-61.4402249 15.58581),2121168630,Morne Les H�ritiers,,,,,,
dominica_points.536,POINT (-61.4297956 15.584116),2121168631,Morne Morson,,,,,,
dominica_points.537,POINT (-61.4595611 15.6139103),2121168632,Morne Soleil,locality,,,,,
dominica_points.538,POINT (-61.4517064 15.5829739),2121168633,Mt Eulas Estate,locality,,,,,
dominica_points.539,POINT (-61.334841 15.5968247),2121168634,Petit Baptiste Bay,locality,,,,,
dominica_points.540,POINT (-61.4226637 15.6397165),2121168635,Point Jaco,locality,,,,,
dominica_points.541,POINT (-61.4305051 15.6400407),2121168636,Point Reposoir,locality,,,,,
dominica_points.542,POINT (-61.4019816 15.5932856),2121168637,Polinier,locality,,,,,
dominica_points.543,POINT (-61.3500381 15.595596),2121168638,Porte-La-Fin,locality,,,,,
dominica_points.544,POINT (-61.4694251 15.5695297),2121168639,Prince Ruppert Bay,locality,,,,,
dominica_points.545,POINT (-61.4083154 15.5949288),2121168640,Providence Estate,locality,,,,,
dominica_points.546,POINT (-61.317259 15.5895326),2121168641,Pte La Soie,locality,,,,,
dominica_points.547,POINT (-61.4499039 15.5883897),2121168642,Reil Estate,locality,,,,,
dominica_points.548,POINT (-61.4294274 15.6375453),2121168643,Reposoir Estate,locality,,,,,
dominica_points.549,POINT (-61.4467958 15.602387),2121168644,Rhode Estate,locality,,,,,
dominica_points.550,POINT (-61.431376 15.5964776),2121168645,S'Olicher,locality,,,,,
dominica_points.551,POINT (-61.4475575 15.6371778),2121168646,Seaman Estate,locality,,,,,
dominica_points.552,POINT (-61.4061184 15.6102189),2121168647,Tobino,locality,,,,,
dominica_points.553,POINT (-61.4519992 15.6153342),2121168648,Toto Estate,locality,,,,,
dominica_points.554,POINT (-61.4678534 15.61015),2121168649,Toucari Bay,locality,,,,,
dominica_points.555,POINT (-61.4398628 15.6047909),2121168650,Trocard,locality,,,,,
dominica_points.556,POINT (-61.3246357 15.5866744),2121168651,Turtle Point,locality,,,,,
dominica_points.557,POINT (-61.4526169 15.6170056),2121168657,Valley Estate,locality,,,,,
dominica_points.558,POINT (-61.3867273 15.5960501),2121168660,Womabati Bay,locality,,,,,
dominica_points.559,POINT (-61.3210305 15.5876093),2121168663,Woodford Hill Bay,locality,,,,,
dominica_points.560,POINT (-61.4446138 15.4746342),2121591266,Abion,locality,,,,,
dominica_points.561,POINT (-61.4521217 15.5179212),2121591267,Al 'Ilet,locality,,,,,
dominica_points.562,POINT (-61.3876531 15.4194863),2121591268,Ancaster Park Estate,locality,,,,,
dominica_points.563,POINT (-61.254115 15.5008233),2121591269,Anse Aywassi,locality,,,,,
dominica_points.564,POINT (-61.2520351 15.4978837),2121591270,Anse Baleine,locality,,,,,
dominica_points.565,POINT (-61.4603048 15.46785),2121591271,Anse Boleau,locality,,,,,
dominica_points.566,POINT (-61.4637567 15.4804136),2121591273,Anse Cola,locality,,,,,
dominica_points.567,POINT (-61.458972 15.4828704),2121591274,Anse Cola,locality,,,,,
dominica_points.568,POINT (-61.4734438 15.4961362),2121591275,Anse Coubari,locality,,,,,
dominica_points.569,POINT (-61.2479447 15.4522396),2121591276,Anse Francais,locality,,,,,
dominica_points.570,POINT (-61.4629781 15.476908),2121591277,Anse Gabriel,locality,,,,,
dominica_points.571,POINT (-61.2463165 15.47846),2121591278,Anse Maho,locality,,,,,
dominica_points.572,POINT (-61.4716005 15.5052063),2121591279,Anse Mulatre,locality,,,,,
dominica_points.573,POINT (-61.2543241 15.436007),2121591280,Anse Quanery or St. David Bay,locality,,,,,
dominica_points.574,POINT (-61.252978 15.5000216),2121591281,Anse Tabatenakua,locality,,,,,
dominica_points.575,POINT (-61.4703455 15.4906183),2121591282,Anse a Liane,locality,,,,,
dominica_points.576,POINT (-61.286348 15.5123532),2121591283,Anthony Gutter,locality,,,,,
dominica_points.577,POINT (-61.4515597 15.4971566),2121591284,Arad,locality,,,,,
dominica_points.578,POINT (-61.4573641 15.4897868),2121591285,Argus,locality,,,,,
dominica_points.579,POINT (-61.4311659 15.4943977),2121591286,Arose,locality,,,,,
dominica_points.580,POINT (-61.3554919 15.4221769),2121591287,Attley,locality,,,,,
dominica_points.581,POINT (-61.4317893 15.4566421),2121591288,Au Piton,locality,,,,,
dominica_points.582,POINT (-61.2873353 15.4181433),2121591289,Bajo Gutter,locality,,,,,
dominica_points.583,POINT (-61.4337502 15.474861),2121591290,Balata,locality,,,,,
dominica_points.584,POINT (-61.2729216 15.4966935),2121591291,Balata,locality,,,,,
dominica_points.585,POINT (-61.4488209 15.5562404),2121591292,Balvine,locality,,,,,
dominica_points.586,POINT (-61.3443824 15.4525074),2121591293,Bambou Ettor,locality,,,,,
dominica_points.587,POINT (-61.2921328 15.4917566),2121591294,Bambou,locality,,,,,
dominica_points.588,POINT (-61.3074086 15.5624821),2121591295,Baptiste,locality,,,,,
dominica_points.589,POINT (-61.2746965 15.5147847),2121591296,Barakua,locality,,,,,
dominica_points.590,POINT (-61.2861323 15.5223296),2121591298,Baron,locality,,,,,
dominica_points.591,POINT (-61.3340449 15.4366681),2121591299,Bassin Will,locality,,,,,
dominica_points.592,POINT (-61.4430058 15.454752),2121591300,Batali Estate,locality,,,,,
dominica_points.593,POINT (-61.4281811 15.4704009),2121591301,Beaus�jour Estate,locality,,,,,
dominica_points.594,POINT (-61.42988 15.5660984),2121591302,Beaus�jour,locality,,,,,
dominica_points.595,POINT (-61.464296 15.5190969),2121591303,Bell Valley,locality,,,,,
dominica_points.596,POINT (-61.3960047 15.4420315),2121591304,Belle Rose,locality,,,,,
