event_id,source_row_id,date,start,end,calendar_name,summary,part_summary,event_type,book_ref,is_audiobook_time,calendar_analysis_duration_hours,wall_clock_duration_hours,include_in_first_pass_time,inclusion_rule,overlap_policy_duration_hours,overlap_policy_rule,overlap_other_events,overlap_other_calendars,overlap_restored_hours,overlap_total_minutes,overlap_longest_minutes,title,finish_id,matched_finish_date,match_method
calendar_analysis_row_005738_part_0,calendar_analysis_row_005738,2022-05-25,2022-05-25 05:15:00+00:00,2022-05-25 05:45:00+00:00,clark.benham@gmail.com,finished cs book: SQL,finished cs book: SQL,finished,SQL,False,0.5,0.5,True,bare_finished_marker_with_book_ref_duration,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,SQL,finish_0023,2022-05-25,finished_event_identity
calendar_analysis_row_016973_part_0,calendar_analysis_row_016973,2024-01-31,2024-01-31 21:45:00+00:00,2024-01-31 22:00:00+00:00,Things,Book:tt,Book:tt,reading,tt,False,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,Tremendous Trifles,finish_0072,2024-03-01,ref_to_finished_title
calendar_analysis_row_017365_part_0,calendar_analysis_row_017365,2024-02-22,2024-02-22 20:15:00+00:00,2024-02-22 20:30:00+00:00,Things,Book:tt,Book:tt,reading,tt,False,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,Tremendous Trifles,finish_0072,2024-03-01,ref_to_finished_title
calendar_analysis_row_017524_part_0,calendar_analysis_row_017524,2024-02-28,2024-02-28 20:15:00+00:00,2024-02-28 20:45:00+00:00,Things,Books,Books,generic,,False,0.5,0.5,False,generic_temporal_read_not_counted_by_default,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,Tremendous Trifles,finish_0072,2024-03-01,generic_temporal
calendar_analysis_row_017532_part_0,calendar_analysis_row_017532,2024-02-29,2024-02-29 10:00:00+00:00,2024-02-29 10:30:00+00:00,Things,read,read,generic,,False,0.5,0.5,False,generic_temporal_read_not_counted_by_default,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,Tremendous Trifles,finish_0072,2024-03-01,generic_temporal
calendar_analysis_row_017539_part_0,calendar_analysis_row_017539,2024-02-29,2024-02-29 21:45:00+00:00,2024-02-29 22:15:00+00:00,Things,books,books,generic,,False,0.5,0.5,False,generic_temporal_read_not_counted_by_default,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,Tremendous Trifles,finish_0072,2024-03-01,generic_temporal
calendar_analysis_row_017548_part_0,calendar_analysis_row_017548,2024-03-01,2024-03-01 09:00:00+00:00,2024-03-01 09:30:00+00:00,Things,Book,Book,generic,,False,0.5,0.5,False,generic_temporal_read_not_counted_by_default,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,Tremendous Trifles,finish_0072,2024-03-01,generic_temporal
calendar_analysis_row_017551_part_0,calendar_analysis_row_017551,2024-03-01,2024-03-01 16:15:00+00:00,2024-03-01 16:45:00+00:00,Things,finished book: tremendous trifles,finished book: tremendous trifles,finished,tremendous trifles,False,0.5,0.5,True,explicit_finished_book_duration,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,Tremendous Trifles,finish_0072,2024-03-01,finished_event_identity
calendar_analysis_row_021254_part_0,calendar_analysis_row_021254,2024-08-03,2024-08-03 21:30:00+00:00,2024-08-03 22:00:00+00:00,Things,Books,Books,generic,,False,0.25,0.5,False,generic_temporal_read_not_counted_by_default,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,what is man and other essays,finish_0088,2024-08-07,generic_temporal
calendar_analysis_row_021346_part_0,calendar_analysis_row_021346,2024-08-07,2024-08-07 05:30:00+00:00,2024-08-07 06:30:00+00:00,Things,Book:wimaoe,Book:wimaoe,reading,wimaoe,False,1.0,1.0,True,explicit_reading_or_audiobook_duration,1.0,calendar_analysis_duration,,,0.0,0.0,0.0,what is man and other essays,finish_0088,2024-08-07,ref_to_finished_title
